-5,-100,20,-5,-96,23,18, Occipital Lobe, Cuneus
0,-95,10,0,-92,14,18, Occipital Lobe, Cuneus
5,-55,20,5,-52,21,23, Limbic Lobe, Posterior Cingulate
15,-90,15,15,-87,18,18, Occipital Lobe, Middle Occipital Gyrus
5,-55,25,5,-52,26,31, Limbic Lobe, Cingulate Gyrus
20,-90,30,20,-86,32,19, Occipital Lobe, Cuneus
35,-75,25,35,-72,27,19, Occipital Lobe, Superior Occipital Gyrus
15,-90,35,15,-86,37,19, Occipital Lobe, Cuneus
-15,-80,15,-15,-77,18,18, Occipital Lobe, Cuneus
30,-75,35,30,-71,36,19, Parietal Lobe, Precuneus
10,-90,15,10,-87,18,18, Occipital Lobe, Cuneus
25,-95,25,25,-91,28,19, Occipital Lobe, Cuneus
5,-85,35,5,-81,36,19, Occipital Lobe, Cuneus
25,-85,30,25,-81,32,19, Occipital Lobe, Cuneus
40,-55,20,40,-52,21,22, Temporal Lobe, Superior Temporal Gyrus
10,-55,30,10,-52,30,31, Parietal Lobe, Precuneus
20,-85,30,20,-81,32,19, Occipital Lobe, Cuneus
30,-85,30,30,-81,32,19, Occipital Lobe, Cuneus
15,-70,30,15,-66,31,7, Parietal Lobe, Precuneus
-10,-100,20,-10,-96,23,19, Occipital Lobe, Cuneus
15,-80,30,15,-76,31,19, Occipital Lobe, Cuneus
5,-100,15,5,-96,19,18, Occipital Lobe, Cuneus
25,-90,30,25,-86,32,19, Occipital Lobe, Cuneus
-15,-95,25,-15,-91,28,19, Occipital Lobe, Cuneus
5,-50,25,5,-47,25,23, Limbic Lobe, Posterior Cingulate
-10,-75,10,-10,-72,13,23, Occipital Lobe, Cuneus
5,-75,30,5,-71,31,7, Occipital Lobe, Cuneus
20,-80,30,20,-76,31,7, Occipital Lobe, Cuneus
-15,-45,40,-15,-42,39,31, Frontal Lobe, Precuneus
10,-60,30,10,-57,30,31, Occipital Lobe, Precuneus
-15,-90,10,-15,-87,14,18, Occipital Lobe, Middle Occipital Gyrus
-10,-95,10,-10,-92,14,18, Occipital Lobe, Middle Occipital Gyrus
40,-65,25,40,-62,26,39, Temporal Lobe, Middle Temporal Gyrus
-15,-85,10,-15,-82,13,18, Occipital Lobe, Cuneus
25,-80,20,25,-77,22,18, Occipital Lobe, Cuneus
-5,-75,10,-5,-72,13,23, Occipital Lobe, Cuneus
0,-80,10,0,-77,13,18, Occipital Lobe, Cuneus
30,-85,25,30,-81,27,19, Occipital Lobe, Cuneus
10,-75,30,10,-71,31,7, Occipital Lobe, Cuneus
10,-45,30,10,-42,30,31, Limbic Lobe, Cingulate Gyrus
15,-95,15,15,-91,18,18, Occipital Lobe, Cuneus
20,-80,15,20,-77,18,18, Occipital Lobe, Cuneus
-5,-100,15,-5,-96,19,18, Occipital Lobe, Cuneus
-10,-85,25,-10,-81,27,18, Occipital Lobe, Cuneus
-15,-95,15,-15,-91,18,18, Occipital Lobe, Cuneus
10,-65,30,10,-62,31,7, Parietal Lobe, Precuneus
20,-70,15,20,-67,17,18, Occipital Lobe, Cuneus
10,-95,15,10,-91,18,18, Occipital Lobe, Cuneus
20,-85,15,20,-82,18,18, Occipital Lobe, Cuneus
35,-65,35,35,-61,35,39, Parietal Lobe, Angular Gyrus
30,-90,25,30,-86,27,19, Occipital Lobe, Cuneus
20,-95,15,20,-91,18,18, Occipital Lobe, Cuneus
-10,-90,5,-10,-87,9,17, Occipital Lobe, Cuneus
25,-95,20,25,-91,23,19, Occipital Lobe, Cuneus
25,-70,15,25,-67,17,18, Occipital Lobe, Cuneus
20,-90,15,20,-87,18,18, Occipital Lobe, Cuneus
45,-65,20,45,-62,22,39, Temporal Lobe, Middle Temporal Gyrus
-5,-60,20,-5,-57,21,31, Limbic Lobe, Posterior Cingulate
0,-60,25,0,-57,26,31, Limbic Lobe, Cingulate Gyrus
20,-75,15,20,-72,17,31, Occipital Lobe, Precuneus
25,-80,35,25,-76,36,19, Parietal Lobe, Precuneus
35,-80,30,35,-76,31,39, Temporal Lobe, Superior Occipital Gyrus
5,-60,15,5,-57,17,23, Limbic Lobe, Posterior Cingulate
15,-75,30,15,-71,31,7, Occipital Lobe, Cuneus
35,-80,25,35,-76,27,19, Occipital Lobe, Superior Occipital Gyrus
10,-70,30,10,-66,31,7, Occipital Lobe, Cuneus
40,-60,15,40,-57,17,22, Occipital Lobe, Middle Temporal Gyrus
5,-50,20,5,-48,21,30, Limbic Lobe, Posterior Cingulate
0,-60,15,0,-57,17,23, Limbic Lobe, Posterior Cingulate
15,-100,15,15,-96,19,18, Occipital Lobe, Cuneus
30,-85,35,30,-81,36,19, Parietal Lobe, Precuneus
-10,-100,15,-10,-96,19,18, Occipital Lobe, Cuneus
-5,-100,10,-5,-96,14,18, Occipital Lobe, Middle Occipital Gyrus
45,-60,20,45,-57,21,39, Temporal Lobe, Superior Temporal Gyrus
35,-85,30,35,-81,32,19, Occipital Lobe, Superior Occipital Gyrus
0,-55,20,0,-52,21,23, Limbic Lobe, Posterior Cingulate
-5,-80,30,-5,-76,31,19, Occipital Lobe, Cuneus
10,-100,15,10,-96,19,18, Occipital Lobe, Cuneus
45,-60,25,45,-57,26,39, Temporal Lobe, Superior Temporal Gyrus
5,-45,25,5,-42,25,23, Limbic Lobe, Posterior Cingulate
40,-75,25,40,-72,27,39, Temporal Lobe, Middle Temporal Gyrus
-10,-85,5,-10,-82,9,17, Occipital Lobe, Cuneus
0,-75,30,0,-71,31,7, Occipital Lobe, Cuneus
-20,-95,20,-20,-91,23,19, Occipital Lobe, Cuneus
-15,-90,5,-15,-87,9,17, Occipital Lobe, Cuneus
45,-55,25,45,-52,26,39, Temporal Lobe, Superior Temporal Gyrus
-5,-90,35,-5,-86,37,19, Occipital Lobe, Cuneus
15,-85,35,15,-81,36,19, Occipital Lobe, Cuneus
35,-85,25,35,-81,27,19, Occipital Lobe, Superior Occipital Gyrus
30,-80,20,30,-77,22,19, Occipital Lobe, Middle Occipital Gyrus
20,-90,35,20,-86,37,19, Occipital Lobe, Cuneus
-15,-45,35,-15,-42,34,31, Limbic Lobe, Cingulate Gyrus
25,-85,35,25,-81,36,19, Occipital Lobe, Cuneus
-10,-80,25,-10,-76,27,18, Occipital Lobe, Cuneus
